geoid,statefp,countyfp,county_name,osm_area_m2,parkserve_area_m2,combined_area_m2,overlap_area_m2,date
01013,01,013,Butler,807896.9812285547,234031.59173376864,724870.5255622853,317058.0474000381,2025-10-31
01009,01,009,Blount,874878.9796209267,137246.6392258968,790836.8831642192,221288.73568260425,2025-10-31
01015,01,015,Calhoun,3049249.08671688,2893964.432718284,3580221.6791430055,2362991.840292158,2025-10-31
01063,01,063,Greene,162327.2293517494,0.0,153505.72766753117,8821.501684218238,2025-10-31
01053,01,053,Escambia,262396.55760882515,740652.6228104875,815892.5154387605,187156.66498055216,2025-10-31
01071,01,071,Jackson,1533266.2395925971,902613.8373269036,2080924.4436580755,354955.6332614252,2025-10-31
01127,01,127,Walker,513529.5592315131,384775.6444033785,619103.0435031874,279202.1601317043,2025-10-31
01049,01,049,DeKalb,725827.922169562,62723.537055872286,706440.3721694511,82111.08705598314,2025-10-31
01089,01,089,Madison,26556835.33509033,18068883.624698285,34915111.114635326,9710607.845153295,2025-10-31
01007,01,007,Bibb,2893864.7082016454,205799.40016999605,2908559.560399211,191104.54797243048,2025-10-31
01037,01,037,Coosa,0.0,0.0,0.0,0.0,2025-10-31
01087,01,087,Macon,183403.96080349485,135082.23929349254,193113.21440435242,125372.985692635,2025-10-31
01073,01,073,Jefferson,17164382.885196213,23732909.746739402,31146272.83874348,9751019.79319213,2025-10-31
01011,01,011,Bullock,30638.99914894309,9203.903453238314,39842.9026021814,7.275957614183426e-12,2025-10-31
01067,01,067,Henry,317262.3025118774,186219.1155966532,291212.5643958945,212268.8537126361,2025-10-31
01001,01,001,Autauga,1293075.8666855118,907292.8258306875,1425952.0199029227,774416.6726132766,2025-10-31
01065,01,065,Hale,1120659.1138672705,52493.70052114332,1094549.7211440806,78603.09324433329,2025-10-31
01045,01,045,Dale,2470470.912888813,447822.5046260447,2123792.912941443,794500.5045734146,2025-10-31
01107,01,107,Pickens,532036.7274240819,0.0,478818.48975149065,53218.23767259123,2025-10-31
01039,01,039,Covington,10340443.40317452,608142.8265392855,10717304.099839691,231282.12987411395,2025-10-31
01069,01,069,Houston,4823028.471108989,3722318.289461529,6616882.283893701,1928464.476676818,2025-10-31
01099,01,099,Monroe,589573.5153979167,453682.22108557954,631134.5393473131,412121.19713618304,2025-10-31
01117,01,117,Shelby,41665178.701280154,49873803.611173935,65808889.27767487,25730093.03477922,2025-10-31
01061,01,061,Geneva,338364.7236593911,266327.0234286007,466230.49328351417,138461.25380447763,2025-10-31
01027,01,027,Clay,241391.32256049968,0.0,223198.94770714035,18192.37485335933,2025-10-31
01115,01,115,St. Clair,1351197.715983342,744778.1281818878,1301550.5732626903,794425.2709025394,2025-10-31
01121,01,121,Talladega,732655.4804398407,640260.2558477224,1018400.4676251458,354515.2686624173,2025-10-31
01023,01,023,Choctaw,206896.3018116714,0.0,176351.67149914193,30544.63031252948,2025-10-31
01019,01,019,Cherokee,112219.22188206676,322429.42264967464,364274.39635309845,70374.24817864294,2025-10-31
01119,01,119,Sumter,476738.0165891119,0.0,421087.97277182754,55650.04381728434,2025-10-31
01029,01,029,Cleburne,25472.226255194277,0.0,25472.226255194277,0.0,2025-10-31
01133,01,133,Winston,331978.7768739927,137299.35933681153,455768.1827438395,13509.953466964711,2025-10-31
01081,01,081,Lee,5236791.140515637,5176581.136146708,8395354.627384292,2018017.649278054,2025-10-31
01103,01,103,Morgan,4362320.495674508,3173011.661301968,4548201.949070306,2987130.2079061707,2025-10-31
01093,01,093,Marion,900747.7629062736,241319.09945191137,795908.4569890683,346158.4053691167,2025-10-31
01055,01,055,Etowah,2626187.3230114686,1805807.2712378441,3024514.2639862797,1407480.330263033,2025-10-31
01129,01,129,Washington,59412.88024109021,0.0,58373.8739223248,1039.006318765416,2025-10-31
01083,01,083,Limestone,2239024.5356943794,599053.4536978309,2187086.952309554,650991.0370826563,2025-10-31
01033,01,033,Colbert,732412.5575272215,597997.363910844,840760.9735027059,489648.94793535944,2025-10-31
01057,01,057,Fayette,408391.824619212,578899.3850267136,649332.2120850661,337958.9975608594,2025-10-31
01017,01,017,Chambers,935858.7250497796,296249.89445691626,975165.7611219476,256942.85838474822,2025-10-31
01091,01,091,Marengo,713376.4212777913,939783.7239225914,1530795.1873058546,122364.95789452805,2025-10-31
01131,01,131,Wilcox,26129.161184680568,0.0,26129.161184680568,0.0,2025-10-31
01047,01,047,Dallas,824547.6257490994,1125363.1408695374,1364820.0708738514,585090.6957447855,2025-10-31
01097,01,097,Mobile,10200309.522514729,7758394.289439246,11571893.810322544,6386810.001631433,2025-10-31
01125,01,125,Tuscaloosa,12576514.009765033,3274164.482429475,12315777.475352095,3534901.016842412,2025-10-31
01109,01,109,Pike,793977.8031830033,521552.3752470764,808178.3958824946,507351.7825475851,2025-10-31
01003,01,003,Baldwin,5733295.982748497,2442061.0882290057,5450166.267180443,2725190.8037970606,2025-10-31
