name_full,state,county
"Pulaski County, Arkansas",Arkansas,Pulaski County
"Randolph County, Arkansas",Arkansas,Randolph County
"St. Francis County, Arkansas",Arkansas,St. Francis County
"Saline County, Arkansas",Arkansas,Saline County
"Scott County, Arkansas",Arkansas,Scott County
"Searcy County, Arkansas",Arkansas,Searcy County
"Sebastian County, Arkansas",Arkansas,Sebastian County
"Sevier County, Arkansas",Arkansas,Sevier County
"Sharp County, Arkansas",Arkansas,Sharp County
"Stone County, Arkansas",Arkansas,Stone County
"Union County, Arkansas",Arkansas,Union County
"Van Buren County, Arkansas",Arkansas,Van Buren County
"Washington County, Arkansas",Arkansas,Washington County
"White County, Arkansas",Arkansas,White County
"Woodruff County, Arkansas",Arkansas,Woodruff County
"Yell County, Arkansas",Arkansas,Yell County
"Alameda County, California",California,Alameda County
"Alpine County, California",California,Alpine County
"Amador County, California",California,Amador County
"Butte County, California",California,Butte County
"Calaveras County, California",California,Calaveras County
"Colusa County, California",California,Colusa County
"Contra Costa County, California",California,Contra Costa County
"Del Norte County, California",California,Del Norte County
"El Dorado County, California",California,El Dorado County
"Fresno County, California",California,Fresno County
"Glenn County, California",California,Glenn County
"Humboldt County, California",California,Humboldt County
"Imperial County, California",California,Imperial County
"Inyo County, California",California,Inyo County
"Kern County, California",California,Kern County
"Kings County, California",California,Kings County
"Lake County, California",California,Lake County
"Lassen County, California",California,Lassen County
"Los Angeles County, California",California,Los Angeles County
"Madera County, California",California,Madera County
"Marin County, California",California,Marin County
"Mariposa County, California",California,Mariposa County
"Mendocino County, California",California,Mendocino County
"Merced County, California",California,Merced County
"Modoc County, California",California,Modoc County
"Mono County, California",California,Mono County
"Monterey County, California",California,Monterey County
"Napa County, California",California,Napa County
"Nevada County, California",California,Nevada County
"Orange County, California",California,Orange County
"Placer County, California",California,Placer County
"Plumas County, California",California,Plumas County
"Riverside County, California",California,Riverside County
"Sacramento County, California",California,Sacramento County
"San Benito County, California",California,San Benito County
"San Bernardino County, California",California,San Bernardino County
"San Diego County, California",California,San Diego County
"San Francisco County, California",California,San Francisco County
"San Joaquin County, California",California,San Joaquin County
"San Luis Obispo County, California",California,San Luis Obispo County
"San Mateo County, California",California,San Mateo County
"Santa Barbara County, California",California,Santa Barbara County
"Santa Clara County, California",California,Santa Clara County
"Santa Cruz County, California",California,Santa Cruz County
"Solano County, California",California,Solano County
"Shasta County, California",California,Shasta County
"Sierra County, California",California,Sierra County
"Siskiyou County, California",California,Siskiyou County
"Sonoma County, California",California,Sonoma County
"Stanislaus County, California",California,Stanislaus County
"Sutter County, California",California,Sutter County
"Tehama County, California",California,Tehama County
"Trinity County, California",California,Trinity County
"Tulare County, California",California,Tulare County
"Tuolumne County, California",California,Tuolumne County
"Ventura County, California",California,Ventura County
"Yolo County, California",California,Yolo County
"Yuba County, California",California,Yuba County
"Adams County, Colorado",Colorado,Adams County
"Alamosa County, Colorado",Colorado,Alamosa County
"Arapahoe County, Colorado",Colorado,Arapahoe County
"Archuleta County, Colorado",Colorado,Archuleta County
"Baca County, Colorado",Colorado,Baca County
"Bent County, Colorado",Colorado,Bent County
"Boulder County, Colorado",Colorado,Boulder County
"Broomfield County, Colorado",Colorado,Broomfield County
"Chaffee County, Colorado",Colorado,Chaffee County
"Cheyenne County, Colorado",Colorado,Cheyenne County
"Clear Creek County, Colorado",Colorado,Clear Creek County
"Conejos County, Colorado",Colorado,Conejos County
"Costilla County, Colorado",Colorado,Costilla County
"Crowley County, Colorado",Colorado,Crowley County
"Custer County, Colorado",Colorado,Custer County
"Delta County, Colorado",Colorado,Delta County
"Denver County, Colorado",Colorado,Denver County
"Dolores County, Colorado",Colorado,Dolores County
"Douglas County, Colorado",Colorado,Douglas County
"Eagle County, Colorado",Colorado,Eagle County
"Elbert County, Colorado",Colorado,Elbert County
"El Paso County, Colorado",Colorado,El Paso County
"Fremont County, Colorado",Colorado,Fremont County
"Garfield County, Colorado",Colorado,Garfield County
"Gilpin County, Colorado",Colorado,Gilpin County
"Grand County, Colorado",Colorado,Grand County
"Gunnison County, Colorado",Colorado,Gunnison County
"Hinsdale County, Colorado",Colorado,Hinsdale County
"Huerfano County, Colorado",Colorado,Huerfano County
"Jackson County, Colorado",Colorado,Jackson County
"Jefferson County, Colorado",Colorado,Jefferson County
"Kiowa County, Colorado",Colorado,Kiowa County
"Kit Carson County, Colorado",Colorado,Kit Carson County
"Lake County, Colorado",Colorado,Lake County
"La Plata County, Colorado",Colorado,La Plata County
"Larimer County, Colorado",Colorado,Larimer County
"Las Animas County, Colorado",Colorado,Las Animas County
"Lincoln County, Colorado",Colorado,Lincoln County
"Logan County, Colorado",Colorado,Logan County
"Mesa County, Colorado",Colorado,Mesa County
"Mineral County, Colorado",Colorado,Mineral County
"Moffat County, Colorado",Colorado,Moffat County
"Montezuma County, Colorado",Colorado,Montezuma County
"Montrose County, Colorado",Colorado,Montrose County
"Morgan County, Colorado",Colorado,Morgan County
"Otero County, Colorado",Colorado,Otero County
"Ouray County, Colorado",Colorado,Ouray County
"Park County, Colorado",Colorado,Park County
"Phillips County, Colorado",Colorado,Phillips County
"Pitkin County, Colorado",Colorado,Pitkin County
"Prowers County, Colorado",Colorado,Prowers County
"Pueblo County, Colorado",Colorado,Pueblo County
"Rio Blanco County, Colorado",Colorado,Rio Blanco County
"Rio Grande County, Colorado",Colorado,Rio Grande County
"Routt County, Colorado",Colorado,Routt County
"Sedgwick County, Colorado",Colorado,Sedgwick County
"Saguache County, Colorado",Colorado,Saguache County
"San Juan County, Colorado",Colorado,San Juan County
"San Miguel County, Colorado",Colorado,San Miguel County
"Summit County, Colorado",Colorado,Summit County
"Teller County, Colorado",Colorado,Teller County
"Washington County, Colorado",Colorado,Washington County
"Weld County, Colorado",Colorado,Weld County
"Yuma County, Colorado",Colorado,Yuma County
"Capitol Planning Region, Connecticut",Connecticut,Capitol Planning Region
"Greater Bridgeport Planning Region, Connecticut",Connecticut,Greater Bridgeport Planning Region
"Lower Connecticut River Valley Planning Region, Connecticut",Connecticut,Lower Connecticut River Valley Planning Region
"Naugatuck Valley Planning Region, Connecticut",Connecticut,Naugatuck Valley Planning Region
"Northeastern Connecticut Planning Region, Connecticut",Connecticut,Northeastern Connecticut Planning Region
"Northwest Hills Planning Region, Connecticut",Connecticut,Northwest Hills Planning Region
"South Central Connecticut Planning Region, Connecticut",Connecticut,South Central Connecticut Planning Region
"Southeastern Connecticut Planning Region, Connecticut",Connecticut,Southeastern Connecticut Planning Region
"Western Connecticut Planning Region, Connecticut",Connecticut,Western Connecticut Planning Region
"Kent County, Delaware",Delaware,Kent County
"New Castle County, Delaware",Delaware,New Castle County
"Sussex County, Delaware",Delaware,Sussex County
"District of Columbia, District of Columbia",District of Columbia,District of Columbia
"Alachua County, Florida",Florida,Alachua County
"Baker County, Florida",Florida,Baker County
"Bay County, Florida",Florida,Bay County
"Bradford County, Florida",Florida,Bradford County
"Brevard County, Florida",Florida,Brevard County
"Broward County, Florida",Florida,Broward County
"Calhoun County, Florida",Florida,Calhoun County
"Charlotte County, Florida",Florida,Charlotte County
"Citrus County, Florida",Florida,Citrus County
"Clay County, Florida",Florida,Clay County
"Collier County, Florida",Florida,Collier County
"Columbia County, Florida",Florida,Columbia County
"DeSoto County, Florida",Florida,DeSoto County
"Dixie County, Florida",Florida,Dixie County
"Duval County, Florida",Florida,Duval County
"Escambia County, Florida",Florida,Escambia County
"Flagler County, Florida",Florida,Flagler County
"Franklin County, Florida",Florida,Franklin County
"Gadsden County, Florida",Florida,Gadsden County
"Gilchrist County, Florida",Florida,Gilchrist County
"Glades County, Florida",Florida,Glades County
"Gulf County, Florida",Florida,Gulf County
"Hamilton County, Florida",Florida,Hamilton County
"Hardee County, Florida",Florida,Hardee County
"Hendry County, Florida",Florida,Hendry County
"Hernando County, Florida",Florida,Hernando County
"Highlands County, Florida",Florida,Highlands County
"Hillsborough County, Florida",Florida,Hillsborough County
"Holmes County, Florida",Florida,Holmes County
"Indian River County, Florida",Florida,Indian River County
"Jackson County, Florida",Florida,Jackson County
"Jefferson County, Florida",Florida,Jefferson County
"Lafayette County, Florida",Florida,Lafayette County
"Lake County, Florida",Florida,Lake County
"Lee County, Florida",Florida,Lee County
"Leon County, Florida",Florida,Leon County
"Levy County, Florida",Florida,Levy County
"Liberty County, Florida",Florida,Liberty County
"Madison County, Florida",Florida,Madison County
"Manatee County, Florida",Florida,Manatee County
"Marion County, Florida",Florida,Marion County
"Martin County, Florida",Florida,Martin County
"Miami-Dade County, Florida",Florida,Miami-Dade County
"Monroe County, Florida",Florida,Monroe County
"Nassau County, Florida",Florida,Nassau County
"Osceola County, Florida",Florida,Osceola County
"Okaloosa County, Florida",Florida,Okaloosa County
"Okeechobee County, Florida",Florida,Okeechobee County
"Orange County, Florida",Florida,Orange County
"Palm Beach County, Florida",Florida,Palm Beach County
"Pasco County, Florida",Florida,Pasco County
"Pinellas County, Florida",Florida,Pinellas County
"Polk County, Florida",Florida,Polk County
"Putnam County, Florida",Florida,Putnam County
"St. Johns County, Florida",Florida,St. Johns County
"St. Lucie County, Florida",Florida,St. Lucie County
"Santa Rosa County, Florida",Florida,Santa Rosa County
"Sarasota County, Florida",Florida,Sarasota County
"Seminole County, Florida",Florida,Seminole County
"Sumter County, Florida",Florida,Sumter County
"Suwannee County, Florida",Florida,Suwannee County
"Taylor County, Florida",Florida,Taylor County
"Union County, Florida",Florida,Union County
"Volusia County, Florida",Florida,Volusia County
"Wakulla County, Florida",Florida,Wakulla County
"Walton County, Florida",Florida,Walton County
"Washington County, Florida",Florida,Washington County
"Appling County, Georgia",Georgia,Appling County
"Atkinson County, Georgia",Georgia,Atkinson County
"Bacon County, Georgia",Georgia,Bacon County
"Baker County, Georgia",Georgia,Baker County
"Baldwin County, Georgia",Georgia,Baldwin County
"Banks County, Georgia",Georgia,Banks County
"Barrow County, Georgia",Georgia,Barrow County
"Bartow County, Georgia",Georgia,Bartow County
"Ben Hill County, Georgia",Georgia,Ben Hill County
"Berrien County, Georgia",Georgia,Berrien County
"Bibb County, Georgia",Georgia,Bibb County
"Bleckley County, Georgia",Georgia,Bleckley County
"Brantley County, Georgia",Georgia,Brantley County
"Brooks County, Georgia",Georgia,Brooks County
"Bryan County, Georgia",Georgia,Bryan County
"Bulloch County, Georgia",Georgia,Bulloch County
"Burke County, Georgia",Georgia,Burke County
"Butts County, Georgia",Georgia,Butts County
"Calhoun County, Georgia",Georgia,Calhoun County
"Camden County, Georgia",Georgia,Camden County
"Candler County, Georgia",Georgia,Candler County
"Carroll County, Georgia",Georgia,Carroll County
"Catoosa County, Georgia",Georgia,Catoosa County
"Charlton County, Georgia",Georgia,Charlton County
"Chatham County, Georgia",Georgia,Chatham County
"Chattahoochee County, Georgia",Georgia,Chattahoochee County
"Chattooga County, Georgia",Georgia,Chattooga County
"Cherokee County, Georgia",Georgia,Cherokee County
"Clarke County, Georgia",Georgia,Clarke County
"Clay County, Georgia",Georgia,Clay County
"Clayton County, Georgia",Georgia,Clayton County
"Clinch County, Georgia",Georgia,Clinch County
"Cobb County, Georgia",Georgia,Cobb County
"Coffee County, Georgia",Georgia,Coffee County
"Colquitt County, Georgia",Georgia,Colquitt County
"Columbia County, Georgia",Georgia,Columbia County
"Cook County, Georgia",Georgia,Cook County
"Coweta County, Georgia",Georgia,Coweta County
"Crawford County, Georgia",Georgia,Crawford County
"Crisp County, Georgia",Georgia,Crisp County
"Dade County, Georgia",Georgia,Dade County
"Dawson County, Georgia",Georgia,Dawson County
"Decatur County, Georgia",Georgia,Decatur County
"DeKalb County, Georgia",Georgia,DeKalb County
"Dodge County, Georgia",Georgia,Dodge County
"Dooly County, Georgia",Georgia,Dooly County
"Dougherty County, Georgia",Georgia,Dougherty County
"Douglas County, Georgia",Georgia,Douglas County
"Elbert County, Georgia",Georgia,Elbert County
"Early County, Georgia",Georgia,Early County
"Echols County, Georgia",Georgia,Echols County
"Effingham County, Georgia",Georgia,Effingham County
"Emanuel County, Georgia",Georgia,Emanuel County
"Evans County, Georgia",Georgia,Evans County
"Fannin County, Georgia",Georgia,Fannin County
"Fayette County, Georgia",Georgia,Fayette County
"Floyd County, Georgia",Georgia,Floyd County
"Forsyth County, Georgia",Georgia,Forsyth County
"Franklin County, Georgia",Georgia,Franklin County
"Fulton County, Georgia",Georgia,Fulton County
"Gilmer County, Georgia",Georgia,Gilmer County
"Glascock County, Georgia",Georgia,Glascock County
"Glynn County, Georgia",Georgia,Glynn County
"Gordon County, Georgia",Georgia,Gordon County
"Grady County, Georgia",Georgia,Grady County
"Greene County, Georgia",Georgia,Greene County
"Gwinnett County, Georgia",Georgia,Gwinnett County
"Habersham County, Georgia",Georgia,Habersham County
"Hall County, Georgia",Georgia,Hall County
"Hancock County, Georgia",Georgia,Hancock County
"Haralson County, Georgia",Georgia,Haralson County
"Harris County, Georgia",Georgia,Harris County
"Hart County, Georgia",Georgia,Hart County
"Heard County, Georgia",Georgia,Heard County
"Henry County, Georgia",Georgia,Henry County
"Houston County, Georgia",Georgia,Houston County
"Irwin County, Georgia",Georgia,Irwin County
"Jackson County, Georgia",Georgia,Jackson County
"Jasper County, Georgia",Georgia,Jasper County
"Jeff Davis County, Georgia",Georgia,Jeff Davis County
"Jefferson County, Georgia",Georgia,Jefferson County
"Jenkins County, Georgia",Georgia,Jenkins County
"Johnson County, Georgia",Georgia,Johnson County
"Jones County, Georgia",Georgia,Jones County
"Lamar County, Georgia",Georgia,Lamar County
"Lanier County, Georgia",Georgia,Lanier County
"Laurens County, Georgia",Georgia,Laurens County
"Lee County, Georgia",Georgia,Lee County
"Liberty County, Georgia",Georgia,Liberty County
"Lincoln County, Georgia",Georgia,Lincoln County
"Long County, Georgia",Georgia,Long County
"Lowndes County, Georgia",Georgia,Lowndes County
"Lumpkin County, Georgia",Georgia,Lumpkin County
"McDuffie County, Georgia",Georgia,McDuffie County
"McIntosh County, Georgia",Georgia,McIntosh County
"Macon County, Georgia",Georgia,Macon County
"Madison County, Georgia",Georgia,Madison County
"Marion County, Georgia",Georgia,Marion County
"Meriwether County, Georgia",Georgia,Meriwether County
"Miller County, Georgia",Georgia,Miller County
"Mitchell County, Georgia",Georgia,Mitchell County
"Monroe County, Georgia",Georgia,Monroe County
"Montgomery County, Georgia",Georgia,Montgomery County
"Morgan County, Georgia",Georgia,Morgan County
"Murray County, Georgia",Georgia,Murray County
"Muscogee County, Georgia",Georgia,Muscogee County
"Newton County, Georgia",Georgia,Newton County
"Oconee County, Georgia",Georgia,Oconee County
"Oglethorpe County, Georgia",Georgia,Oglethorpe County
"Paulding County, Georgia",Georgia,Paulding County
"Peach County, Georgia",Georgia,Peach County
"Pickens County, Georgia",Georgia,Pickens County
"Pierce County, Georgia",Georgia,Pierce County
"Pike County, Georgia",Georgia,Pike County
"Polk County, Georgia",Georgia,Polk County
"Pulaski County, Georgia",Georgia,Pulaski County
"Putnam County, Georgia",Georgia,Putnam County
"Quitman County, Georgia",Georgia,Quitman County
"Rockdale County, Georgia",Georgia,Rockdale County
"Rabun County, Georgia",Georgia,Rabun County
"Randolph County, Georgia",Georgia,Randolph County
"Richmond County, Georgia",Georgia,Richmond County
"Schley County, Georgia",Georgia,Schley County
"Screven County, Georgia",Georgia,Screven County
"Seminole County, Georgia",Georgia,Seminole County
"Spalding County, Georgia",Georgia,Spalding County
"Stephens County, Georgia",Georgia,Stephens County
"Stewart County, Georgia",Georgia,Stewart County
"Sumter County, Georgia",Georgia,Sumter County
"Talbot County, Georgia",Georgia,Talbot County
"Taliaferro County, Georgia",Georgia,Taliaferro County
"Tattnall County, Georgia",Georgia,Tattnall County
"Taylor County, Georgia",Georgia,Taylor County
"Telfair County, Georgia",Georgia,Telfair County
"Terrell County, Georgia",Georgia,Terrell County
"Thomas County, Georgia",Georgia,Thomas County
"Tift County, Georgia",Georgia,Tift County
"Toombs County, Georgia",Georgia,Toombs County
"Towns County, Georgia",Georgia,Towns County
"Treutlen County, Georgia",Georgia,Treutlen County
"Troup County, Georgia",Georgia,Troup County
"Turner County, Georgia",Georgia,Turner County
"Twiggs County, Georgia",Georgia,Twiggs County
"Union County, Georgia",Georgia,Union County
"Upson County, Georgia",Georgia,Upson County
"Walker County, Georgia",Georgia,Walker County
"Walton County, Georgia",Georgia,Walton County
"Ware County, Georgia",Georgia,Ware County
"Warren County, Georgia",Georgia,Warren County
"Washington County, Georgia",Georgia,Washington County
"Wayne County, Georgia",Georgia,Wayne County
"Webster County, Georgia",Georgia,Webster County
"Wheeler County, Georgia",Georgia,Wheeler County
"White County, Georgia",Georgia,White County
"Whitfield County, Georgia",Georgia,Whitfield County
"Wilcox County, Georgia",Georgia,Wilcox County
"Wilkes County, Georgia",Georgia,Wilkes County
"Wilkinson County, Georgia",Georgia,Wilkinson County
"Worth County, Georgia",Georgia,Worth County
"Hawaii County, Hawaii",Hawaii,Hawaii County
"Honolulu County, Hawaii",Hawaii,Honolulu County
"Kalawao County, Hawaii",Hawaii,Kalawao County
"Kauai County, Hawaii",Hawaii,Kauai County
"Maui County, Hawaii",Hawaii,Maui County
"Ada County, Idaho",Idaho,Ada County
"Adams County, Idaho",Idaho,Adams County
"Bannock County, Idaho",Idaho,Bannock County
"Bear Lake County, Idaho",Idaho,Bear Lake County
"Benewah County, Idaho",Idaho,Benewah County
"Bingham County, Idaho",Idaho,Bingham County
"Blaine County, Idaho",Idaho,Blaine County
"Boise County, Idaho",Idaho,Boise County
"Bonner County, Idaho",Idaho,Bonner County
"Bonneville County, Idaho",Idaho,Bonneville County
"Boundary County, Idaho",Idaho,Boundary County
"Butte County, Idaho",Idaho,Butte County
"Camas County, Idaho",Idaho,Camas County
"Canyon County, Idaho",Idaho,Canyon County
"Caribou County, Idaho",Idaho,Caribou County
"Cassia County, Idaho",Idaho,Cassia County
"Clark County, Idaho",Idaho,Clark County
"Clearwater County, Idaho",Idaho,Clearwater County
"Custer County, Idaho",Idaho,Custer County
"Elmore County, Idaho",Idaho,Elmore County
"Franklin County, Idaho",Idaho,Franklin County
"Fremont County, Idaho",Idaho,Fremont County
"Gem County, Idaho",Idaho,Gem County
"Gooding County, Idaho",Idaho,Gooding County
"Kootenai County, Idaho",Idaho,Kootenai County
"Idaho County, Idaho",Idaho,Idaho County
"Jefferson County, Idaho",Idaho,Jefferson County
"Jerome County, Idaho",Idaho,Jerome County
"Latah County, Idaho",Idaho,Latah County
"Lemhi County, Idaho",Idaho,Lemhi County
"Lewis County, Idaho",Idaho,Lewis County
"Lincoln County, Idaho",Idaho,Lincoln County
"Madison County, Idaho",Idaho,Madison County
"Minidoka County, Idaho",Idaho,Minidoka County
"Nez Perce County, Idaho",Idaho,Nez Perce County
"Oneida County, Idaho",Idaho,Oneida County
"Owyhee County, Idaho",Idaho,Owyhee County
"Payette County, Idaho",Idaho,Payette County
"Power County, Idaho",Idaho,Power County
"Shoshone County, Idaho",Idaho,Shoshone County
"Teton County, Idaho",Idaho,Teton County
"Twin Falls County, Idaho",Idaho,Twin Falls County
"Valley County, Idaho",Idaho,Valley County
"Washington County, Idaho",Idaho,Washington County
